"respondent_id","true_profile","department","tenure","level","oe_worked","oe_hard","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15"
"R0020","High Engagement","Marketing","1-3 years","Senior IC","The examples actually matched the kind of work I do day to day.","Hard to answer about onboarding when mine was two years ago.",4,4,1,1,4,4,3,4,3,4,3,4,3,3,3
"R0021","Moderate-High Engagement","Product","5+ years","Senior IC","The examples actually matched the kind of work I do day to day.","no",4,3,2,2,4,3,3,4,4,4,4,4,3,4,4
"R0022","High Engagement","Operations","5+ years","Individual contributor","It was clear what each question was getting at.","not really",2,3,NA,3,4,4,4,4,NA,4,3,NA,4,3,4
"R0023","Low Engagement","Product","5+ years","Manager","I liked that it asked about things nobody usually asks about.","Font was small.",2,2,3,4,1,1,3,1,2,1,2,2,1,2,4
"R0024","Moderate-High Engagement","Content","Under 1 year","Senior IC","I liked that it asked about things nobody usually asks about.","The scale was confusing.",3,1,4,4,3,NA,4,4,4,4,3,3,2,2,3
"R0025","Low Engagement","Operations","Under 1 year","Individual contributor","not really","Font was small.",1,1,2,2,3,1,1,2,1,3,3,2,1,2,4
"R0026","Low Engagement","Marketing","1-3 years","Senior IC","no","There was no option to say a question did not apply to me.",2,2,1,1,2,3,2,1,1,1,2,1,1,1,1
"R0027","Moderate-Low Engagement","Operations","1-3 years","Individual contributor","It was clear what each question was getting at.","Hard to answer about onboarding when mine was two years ago.",1,1,2,2,1,3,2,4,1,3,2,3,3,1,2
"R0028","Low Engagement","Operations","5+ years","Senior IC","It was fine I guess.","Some of the wording was ambiguous -- 'my team' could mean two different things.",1,2,3,1,1,1,1,1,3,2,1,1,2,1,2
"R0029","Moderate-High Engagement","Content","Under 1 year","Manager","It was short.","There was no option to say a question did not apply to me.",4,4,2,1,4,3,2,4,4,4,4,NA,3,3,4
"R0030","Moderate-High Engagement","Engineering","Under 1 year","Manager","The examples actually matched the kind of work I do day to day.","nothing",4,3,4,4,3,4,4,4,3,3,4,4,2,4,3
"R0031","High Engagement","Marketing","1-3 years","Individual contributor","Short enough that I could give real answers instead of rushing.","Some of the wording was ambiguous -- 'my team' could mean two different things.",2,2,4,2,4,3,4,4,4,3,4,4,4,3,4
"R0032","Moderate-High Engagement","Content","5+ years","Manager","It was clear what each question was getting at.","There was no option to say a question did not apply to me.",NA,3,3,2,3,3,4,4,1,4,NA,4,4,2,3
"R0033","High Engagement","Engineering","Under 1 year","Senior IC","I liked that it asked about things nobody usually asks about.","n/a",1,1,2,3,2,4,3,NA,1,3,3,4,4,3,2
"R0034","Low Engagement","Content","1-3 years","Individual contributor","It was fine I guess.",NA,2,2,1,2,2,1,1,1,1,1,1,2,2,2,2
"R0035","Moderate-High Engagement","Operations","3-5 years","Individual contributor","The examples actually matched the kind of work I do day to day.","Some of the wording was ambiguous -- 'my team' could mean two different things.",4,3,4,4,3,4,2,4,2,NA,3,4,3,3,4
"R0036","Moderate-Low Engagement","Operations","3-5 years","Senior IC","Not much.","The scale was confusing.",2,4,3,3,3,2,3,3,4,NA,3,4,4,1,3
"R0037","Moderate-High Engagement","Content","1-3 years","Individual contributor","The examples actually matched the kind of work I do day to day.","Some of the wording was ambiguous -- 'my team' could mean two different things.",1,1,2,2,4,4,2,2,3,4,3,3,1,1,4
"R0038","Moderate-Low Engagement","Engineering","1-3 years","Senior IC","The examples actually matched the kind of work I do day to day.","Hard to answer about onboarding when mine was two years ago.",3,1,3,2,1,2,NA,4,4,4,1,2,1,2,2
"R0039","Moderate-High Engagement","Data & Analytics","5+ years","Individual contributor","The examples actually matched the kind of work I do day to day.","Hard to answer about onboarding when mine was two years ago.",NA,3,4,4,4,3,4,2,3,4,NA,3,3,2,4
"R0040","Moderate-Low Engagement","Content","Under 1 year","Senior IC","Short enough that I could give real answers instead of rushing.","idk",3,2,2,3,NA,3,2,2,3,3,1,1,2,3,3
"R0041","Low Engagement","Content","1-3 years","Individual contributor","none","The scale was confusing.",4,1,3,2,1,3,4,1,3,4,3,2,2,1,2
"R0042","Low Engagement","Engineering","1-3 years","Individual contributor","It was short.","Hard to answer about onboarding when mine was two years ago.",2,1,1,3,1,2,1,1,3,3,1,1,1,2,2
"R0043","Moderate-Low Engagement","Operations","Under 1 year","Individual contributor","I liked that it asked about things nobody usually asks about.",NA,4,1,4,4,2,3,4,2,3,3,3,3,3,4,2
"R0044","High Engagement","Engineering","5+ years","Individual contributor","I liked that it asked about things nobody usually asks about.","none",4,2,4,4,3,4,3,3,3,4,4,3,4,4,4
"R0045","Moderate-High Engagement","Operations","5+ years","Manager","I liked that it asked about things nobody usually asks about.","Hard to answer about onboarding when mine was two years ago.",4,4,4,4,3,3,4,3,4,4,NA,4,3,3,4
"R0046","Moderate-Low Engagement","Marketing","3-5 years","Individual contributor","I liked that it asked about things nobody usually asks about.","Hard to answer about onboarding when mine was two years ago.",2,1,3,4,3,2,3,4,3,NA,3,3,2,2,2
"R0047","Moderate-Low Engagement","Marketing","Under 1 year","Individual contributor","It was clear what each question was getting at.",NA,2,1,4,NA,2,2,1,2,3,3,2,4,2,2,3
"R0048","Low Engagement","Content","1-3 years","Senior IC","Not much.","Too long.",3,1,4,3,2,1,1,1,3,1,2,2,2,1,1
"R0049","Moderate-Low Engagement","Product","Under 1 year","Individual contributor","It was short.","Some of the wording was ambiguous -- 'my team' could mean two different things.",1,4,NA,2,2,3,3,3,4,2,2,2,2,2,3
"R0050","Low Engagement","Marketing","3-5 years","Senior IC","Not much.",NA,3,3,3,NA,1,1,1,2,3,1,1,1,1,3,3
"R0051","Moderate-Low Engagement","Content","5+ years","Individual contributor","Not much.","n/a",3,2,3,4,3,3,2,3,NA,3,2,3,2,2,3
"R0052","Low Engagement","Data & Analytics","1-3 years","Individual contributor","n/a","The scale was confusing.",1,1,4,3,1,1,2,1,1,1,3,2,1,2,2
"R0053","High Engagement","Product","3-5 years","Individual contributor","I liked that it asked about things nobody usually asks about.",NA,4,3,4,NA,4,2,4,4,4,4,3,4,4,4,3
"R0054","Moderate-Low Engagement","Operations","1-3 years","Senior IC","It was clear what each question was getting at.","The scale was confusing.",2,1,3,3,2,3,2,1,4,2,1,3,NA,2,1
"R0055","Moderate-High Engagement","Data & Analytics","Under 1 year","Senior IC","It was clear what each question was getting at.","There was no option to say a question did not apply to me.",2,3,2,2,3,2,4,3,2,3,3,4,4,3,1
"R0056","Moderate-High Engagement","Data & Analytics","Under 1 year","Senior IC","The examples actually matched the kind of work I do day to day.","no",NA,4,3,NA,4,3,3,4,4,4,4,3,2,4,3
"R0057","Moderate-High Engagement","Product","Under 1 year","Individual contributor","It was short.",NA,4,4,4,3,4,3,4,4,4,2,4,4,4,2,3
"R0058","Low Engagement","Data & Analytics","Under 1 year","Individual contributor","not really","The scale was confusing.",1,1,2,2,1,1,1,2,2,2,1,1,2,3,2
"R0059","Moderate-High Engagement","Data & Analytics","3-5 years","Individual contributor","I liked that it asked about things nobody usually asks about.","nothing",1,3,2,4,4,3,4,2,4,4,4,4,3,2,4
"R0060","Moderate-Low Engagement","Operations","Under 1 year","Senior IC","I liked that it asked about things nobody usually asks about.",NA,2,3,4,1,3,4,4,2,4,1,4,2,3,4,1
"R0061","Moderate-Low Engagement","Marketing","3-5 years","Individual contributor","The examples actually matched the kind of work I do day to day.","Too long.",2,2,3,2,3,3,3,2,4,4,3,2,2,1,3
"R0062","Moderate-Low Engagement","Engineering","1-3 years","Manager","I liked that it asked about things nobody usually asks about.","Too long.",4,2,1,2,2,2,2,4,2,2,3,NA,2,2,2
"R0063","Moderate-Low Engagement","Data & Analytics","1-3 years","Manager","Not much.","Hard to answer about onboarding when mine was two years ago.",3,2,3,2,3,2,3,4,2,1,2,3,3,NA,3
"R0064","Moderate-Low Engagement","Content","1-3 years","Individual contributor","Not much.","There was no option to say a question did not apply to me.",2,1,2,3,2,3,2,3,1,2,1,2,2,1,1
"R0065","Moderate-Low Engagement","Marketing","Under 1 year","Senior IC","It was short.","Hard to answer about onboarding when mine was two years ago.",1,1,3,2,2,2,3,3,1,3,2,2,3,2,3
"R0066","Moderate-Low Engagement","Product","3-5 years","Senior IC","Short enough that I could give real answers instead of rushing.","Hard to answer about onboarding when mine was two years ago.",2,2,1,2,3,1,2,2,3,2,2,2,3,2,2
"R0067","Moderate-Low Engagement","Marketing","1-3 years","Individual contributor","It was short.","There was no option to say a question did not apply to me.",1,4,3,4,3,NA,3,4,2,NA,2,2,4,3,2
"R0068","Moderate-Low Engagement","Product","Under 1 year","Senior IC","The examples actually matched the kind of work I do day to day.","The scale was confusing.",2,2,2,4,2,1,2,3,2,1,3,3,2,4,1
"R0069","Moderate-High Engagement","Content","5+ years","Individual contributor","I liked that it asked about things nobody usually asks about.",NA,3,4,2,3,3,4,3,4,4,2,4,4,4,4,4
"R0070","Moderate-Low Engagement","Engineering","1-3 years","Individual contributor","It was clear what each question was getting at.",NA,NA,3,1,3,3,4,NA,2,4,3,3,3,3,2,4
"R0071","Low Engagement","Engineering","1-3 years","Senior IC","It was fine I guess.","Some of the wording was ambiguous -- 'my team' could mean two different things.",1,3,1,2,1,1,3,2,3,2,2,2,2,2,2
"R0072","High Engagement","Marketing","Under 1 year","Senior IC","idk","There was no option to say a question did not apply to me.",4,2,4,3,4,4,2,4,3,3,4,3,4,2,4
"R0073","Low Engagement","Data & Analytics","1-3 years","Senior IC","nothing","Font was small.",2,2,2,2,1,1,1,3,3,1,1,1,1,2,3
"R0074","Moderate-Low Engagement","Engineering","3-5 years","Senior IC","Not much.","There was no option to say a question did not apply to me.",3,2,3,3,3,2,1,4,3,2,3,1,2,4,3
"R0075","High Engagement","Content","5+ years","Senior IC","It was clear what each question was getting at.","Some of the wording was ambiguous -- 'my team' could mean two different things.",4,4,3,3,4,3,4,4,2,3,3,4,4,2,3
"R0076","Moderate-High Engagement","Marketing","1-3 years","Manager","I liked that it asked about things nobody usually asks about.","There was no option to say a question did not apply to me.",3,3,3,3,4,4,3,4,4,NA,4,4,4,3,4
"R0077","Moderate-Low Engagement","Engineering","5+ years","Individual contributor","It was fine I guess.","Too long.",4,4,3,4,2,2,4,1,3,4,2,2,3,2,3
"R0078","Moderate-High Engagement","Engineering","3-5 years","Manager","The examples actually matched the kind of work I do day to day.","n/a",3,3,3,3,3,3,4,3,2,4,4,3,4,2,1
"R0079","Moderate-Low Engagement","Operations","1-3 years","Individual contributor","It was fine I guess.",NA,1,3,2,4,2,2,1,2,2,1,2,2,2,1,1
"R0080","High Engagement","Marketing","1-3 years","Individual contributor","The examples actually matched the kind of work I do day to day.","Some of the wording was ambiguous -- 'my team' could mean two different things.",4,4,3,3,4,NA,2,4,2,4,4,NA,4,4,3
"R0081","Moderate-High Engagement","Engineering","5+ years","Individual contributor","It was clear what each question was getting at.","Some of the wording was ambiguous -- 'my team' could mean two different things.",2,1,3,4,3,3,NA,4,4,2,2,NA,3,NA,1
"R0082","Low Engagement","Product","1-3 years","Individual contributor","none","Hard to answer about onboarding when mine was two years ago.",1,3,1,2,2,4,3,3,3,2,1,1,1,2,3
"R0083","Moderate-Low Engagement","Engineering","5+ years","Senior IC","It was short.","Some of the wording was ambiguous -- 'my team' could mean two different things.",3,1,4,3,3,2,2,4,3,4,4,2,3,1,4
"R0084","Low Engagement","Product","5+ years","Senior IC","idk","Font was small.",1,2,3,2,1,3,2,2,2,2,1,2,1,2,1
"R0085","Moderate-Low Engagement","Engineering","Under 1 year","Senior IC","Short enough that I could give real answers instead of rushing.","Font was small.",2,2,3,1,2,3,2,3,3,3,3,2,2,3,2
"R0086","Low Engagement","Content","1-3 years","Individual contributor","none","The scale was confusing.",1,3,3,2,NA,1,1,4,2,3,2,3,1,2,2
"R0087","Moderate-Low Engagement","Content","1-3 years","Individual contributor","It was clear what each question was getting at.","not really",2,1,1,1,2,2,3,4,4,3,4,4,4,2,4
"R0088","Moderate-High Engagement","Product","Under 1 year","Individual contributor","The examples actually matched the kind of work I do day to day.",NA,4,3,3,2,3,4,4,3,3,3,4,4,4,4,3
"R0089","Moderate-Low Engagement","Data & Analytics","5+ years","Individual contributor","It was clear what each question was getting at.",NA,4,3,3,1,2,3,3,2,3,4,4,2,1,4,4
"R0090","Moderate-Low Engagement","Product","1-3 years","Individual contributor","It was fine I guess.","idk",3,2,3,4,4,4,1,3,1,1,1,1,2,2,1
"R0091","Moderate-Low Engagement","Engineering","Under 1 year","Manager","It was fine I guess.","The scale was confusing.",3,2,3,3,2,3,2,3,2,1,1,4,3,2,NA
"R0092","High Engagement","Engineering","Under 1 year","Senior IC","Short enough that I could give real answers instead of rushing.",NA,3,4,NA,4,3,4,4,4,4,4,4,4,4,2,4
"R0093","High Engagement","Data & Analytics","3-5 years","Individual contributor","It was short.","Some of the wording was ambiguous -- 'my team' could mean two different things.",4,4,4,3,4,4,4,4,4,3,4,3,4,4,3
"R0094","Moderate-High Engagement","Product","3-5 years","Senior IC","I liked that it asked about things nobody usually asks about.",NA,2,2,2,4,3,4,3,3,NA,4,2,4,3,3,1
"R0095","Moderate-Low Engagement","Engineering","1-3 years","Senior IC","It was short.","Font was small.",NA,1,3,3,4,3,2,3,1,2,4,4,4,4,2
"R0096","Moderate-Low Engagement","Content","3-5 years","Manager","The examples actually matched the kind of work I do day to day.","Font was small.",4,3,3,4,3,4,3,2,3,4,2,3,2,3,3
"R0097","Moderate-Low Engagement","Engineering","3-5 years","Individual contributor","It was short.","Hard to answer about onboarding when mine was two years ago.",2,2,3,3,NA,1,3,1,4,3,2,2,3,3,3
"R0098","Moderate-High Engagement","Engineering","1-3 years","Individual contributor","I liked that it asked about things nobody usually asks about.",NA,4,4,3,3,3,3,3,3,3,2,4,2,4,4,4
"R0099","Moderate-Low Engagement","Product","5+ years","Individual contributor","Short enough that I could give real answers instead of rushing.",NA,1,3,3,1,3,3,4,3,4,2,2,4,2,3,1
"R0100","Moderate-Low Engagement","Content","1-3 years","Individual contributor","Short enough that I could give real answers instead of rushing.","There was no option to say a question did not apply to me.",3,3,1,3,1,3,1,2,3,4,2,2,3,3,4
"R0101","Moderate-High Engagement","Engineering","3-5 years","Senior IC","It was clear what each question was getting at.","none",2,4,4,1,3,4,3,2,4,2,4,4,2,2,3
"R0102","Moderate-Low Engagement","Content","1-3 years","Manager","Short enough that I could give real answers instead of rushing.","Some of the wording was ambiguous -- 'my team' could mean two different things.",1,2,3,1,3,2,2,1,3,3,3,1,3,2,2
"R0103","Moderate-High Engagement","Data & Analytics","5+ years","Senior IC","It was clear what each question was getting at.","Font was small.",3,4,3,3,2,3,4,2,3,4,4,4,4,4,2
"R0104","Moderate-High Engagement","Content","3-5 years","Senior IC","It was short.",NA,3,3,3,4,4,4,NA,4,4,3,1,4,4,1,4
"R0105","Moderate-Low Engagement","Operations","Under 1 year","Senior IC","It was clear what each question was getting at.","Hard to answer about onboarding when mine was two years ago.",4,3,2,4,4,NA,3,1,4,3,2,1,2,4,3
"R0106","Moderate-Low Engagement","Engineering","5+ years","Senior IC","It was fine I guess.","The scale was confusing.",4,4,1,NA,2,3,2,2,3,2,2,2,4,3,4
"R0107","Moderate-Low Engagement","Content","Under 1 year","Individual contributor","It was fine I guess.","Some of the wording was ambiguous -- 'my team' could mean two different things.",3,2,3,4,3,4,3,3,3,3,NA,2,1,2,4
"R0108","Low Engagement","Engineering","1-3 years","Senior IC","Short enough that I could give real answers instead of rushing.","not really",3,2,3,2,1,2,3,1,2,1,3,1,1,3,4
"R0109","Moderate-Low Engagement","Engineering","3-5 years","Individual contributor","I liked that it asked about things nobody usually asks about.","Hard to answer about onboarding when mine was two years ago.",4,NA,3,2,2,1,1,3,4,3,3,3,3,3,4
"R0110","Moderate-Low Engagement","Marketing","Under 1 year","Individual contributor","It was clear what each question was getting at.","Some of the wording was ambiguous -- 'my team' could mean two different things.",NA,1,4,4,2,3,1,3,2,3,1,NA,1,2,3
"R0111","Moderate-High Engagement","Data & Analytics","3-5 years","Senior IC","Short enough that I could give real answers instead of rushing.",NA,3,3,2,1,4,2,3,4,4,3,4,3,3,4,1
"R0112","Low Engagement","Operations","Under 1 year","Senior IC","Not much.","Font was small.",1,2,2,1,2,1,3,3,1,1,NA,2,2,4,1
"R0113","Moderate-Low Engagement","Engineering","1-3 years","Manager","It was clear what each question was getting at.",NA,NA,4,4,2,1,3,1,4,2,2,3,2,3,3,3
"R0114","Moderate-Low Engagement","Engineering","3-5 years","Senior IC","Not much.","The scale was confusing.",3,3,4,3,2,3,1,1,2,2,1,3,3,3,2
"R0115","Moderate-Low Engagement","Engineering","5+ years","Individual contributor","nothing","There was no option to say a question did not apply to me.",4,4,1,4,1,2,3,3,3,3,3,3,4,4,2
"R0116","Moderate-High Engagement","Data & Analytics","3-5 years","Manager","I liked that it asked about things nobody usually asks about.","There was no option to say a question did not apply to me.",3,NA,4,4,4,3,2,2,3,3,2,3,4,2,4
"R0117","Moderate-Low Engagement","Engineering","Under 1 year","Individual contributor","The examples actually matched the kind of work I do day to day.","Some of the wording was ambiguous -- 'my team' could mean two different things.",3,2,3,3,1,2,1,3,4,NA,2,4,2,3,3
"R0118","Moderate-High Engagement","Engineering","5+ years","Senior IC","Short enough that I could give real answers instead of rushing.",NA,2,2,3,4,3,3,2,2,4,2,4,3,2,1,4
"R0119","Moderate-Low Engagement","Engineering","Under 1 year","Senior IC","The examples actually matched the kind of work I do day to day.","Some of the wording was ambiguous -- 'my team' could mean two different things.",3,4,3,2,1,2,3,NA,4,NA,1,2,3,3,4
"R0120","Moderate-Low Engagement","Content","Under 1 year","Individual contributor","I liked that it asked about things nobody usually asks about.","Font was small.",2,1,3,4,2,2,2,3,2,2,4,3,3,2,1
"R0121","Moderate-Low Engagement","Data & Analytics","Under 1 year","Senior IC","Not much.",NA,3,2,3,3,3,3,2,2,3,2,3,3,2,2,1
"R0122","Moderate-Low Engagement","Content","Under 1 year","Individual contributor","I liked that it asked about things nobody usually asks about.",NA,3,2,1,2,NA,3,3,3,4,4,4,2,2,3,NA
"R0123","Low Engagement","Product","1-3 years","Individual contributor","It was fine I guess.","Too long.",1,1,3,2,2,2,2,2,2,1,1,1,2,1,2
"R0124","Moderate-High Engagement","Operations","3-5 years","Senior IC","It was clear what each question was getting at.",NA,4,3,4,3,3,3,4,4,4,4,4,4,3,3,3
"R0125","Low Engagement","Product","1-3 years","Individual contributor","Not much.","Some of the wording was ambiguous -- 'my team' could mean two different things.",2,3,1,3,3,1,2,2,1,2,3,3,2,NA,1
"R0126","Moderate-Low Engagement","Engineering","Under 1 year","Individual contributor","It was fine I guess.","Some of the wording was ambiguous -- 'my team' could mean two different things.",3,3,2,2,2,1,2,3,2,4,1,3,4,1,1
"R0127","Moderate-Low Engagement","Content","1-3 years","Senior IC","The examples actually matched the kind of work I do day to day.","Font was small.",4,4,2,1,3,3,3,2,4,2,3,2,3,3,2
"R0128","Moderate-High Engagement","Operations","1-3 years","Individual contributor","Short enough that I could give real answers instead of rushing.","Hard to answer about onboarding when mine was two years ago.",4,2,4,1,4,4,4,2,1,2,3,2,4,4,3
"R0129","Moderate-Low Engagement","Engineering","3-5 years","Senior IC","none","Some of the wording was ambiguous -- 'my team' could mean two different things.",4,4,4,4,3,3,2,NA,2,2,2,1,3,4,NA
"R0130","Low Engagement","Operations","1-3 years","Individual contributor","The examples actually matched the kind of work I do day to day.",NA,1,NA,3,1,1,1,1,3,1,3,1,1,2,2,1
"R0131","Moderate-Low Engagement","Product","5+ years","Senior IC","It was clear what each question was getting at.","There was no option to say a question did not apply to me.",3,2,4,4,2,2,3,4,3,1,3,NA,2,3,2
"R0132","Moderate-Low Engagement","Operations","1-3 years","Manager","Short enough that I could give real answers instead of rushing.","There was no option to say a question did not apply to me.",1,NA,2,2,1,2,1,3,1,2,1,1,1,3,4
"R0133","Moderate-High Engagement","Marketing","3-5 years","Individual contributor","Short enough that I could give real answers instead of rushing.","Hard to answer about onboarding when mine was two years ago.",4,2,4,2,2,2,2,3,2,3,4,3,3,3,3
"R0134","Moderate-High Engagement","Engineering","1-3 years","Senior IC","The examples actually matched the kind of work I do day to day.","Hard to answer about onboarding when mine was two years ago.",2,4,3,2,4,4,4,4,3,3,NA,4,3,3,3
"R0135","Low Engagement","Operations","Under 1 year","Senior IC","It was fine I guess.","There was no option to say a question did not apply to me.",2,1,1,4,1,3,3,3,2,2,1,4,2,1,1
"R0136","Moderate-Low Engagement","Engineering","Under 1 year","Individual contributor","It was short.","Hard to answer about onboarding when mine was two years ago.",1,2,4,4,3,3,1,2,2,2,4,4,3,1,1
"R0137","Low Engagement","Engineering","1-3 years","Senior IC","n/a",NA,4,4,4,1,2,3,2,2,4,3,4,1,2,3,2
"R0138","Moderate-Low Engagement","Operations","5+ years","Manager","It was short.","Some of the wording was ambiguous -- 'my team' could mean two different things.",2,4,2,1,3,4,3,4,3,2,3,NA,3,4,3
"R0139","Moderate-High Engagement","Engineering","1-3 years","Senior IC","It was clear what each question was getting at.",NA,4,3,2,2,4,3,3,4,4,2,1,2,3,3,3
"R0140","High Engagement","Content","5+ years","Senior IC","The examples actually matched the kind of work I do day to day.","Hard to answer about onboarding when mine was two years ago.",4,4,4,4,4,4,4,4,4,1,3,4,3,4,3
"R0141","Moderate-High Engagement","Engineering","3-5 years","Individual contributor","It was clear what each question was getting at.","There was no option to say a question did not apply to me.",4,4,4,3,3,3,4,4,2,4,4,4,4,2,3
"R0142","Low Engagement","Engineering","3-5 years","Senior IC","Not much.","Too long.",1,3,1,2,1,1,2,2,1,2,NA,3,1,3,3
"R0143","Moderate-Low Engagement","Content","3-5 years","Individual contributor","n/a",NA,4,3,3,1,2,2,3,1,2,NA,3,3,4,1,2
"R0144","Low Engagement","Data & Analytics","3-5 years","Senior IC","Short enough that I could give real answers instead of rushing.","Hard to answer about onboarding when mine was two years ago.",1,3,1,1,2,1,2,3,2,4,1,1,2,4,2
"R0145","Moderate-Low Engagement","Marketing","1-3 years","Individual contributor","It was short.","Too long.",1,4,1,4,1,2,2,4,2,3,4,3,2,3,1
"R0146","Moderate-High Engagement","Operations","1-3 years","Senior IC","Short enough that I could give real answers instead of rushing.","no",4,2,4,4,4,3,4,3,1,4,3,4,3,4,3
"R0147","Moderate-Low Engagement","Operations","5+ years","Individual contributor","It was clear what each question was getting at.","Some of the wording was ambiguous -- 'my team' could mean two different things.",1,3,1,1,2,3,3,4,4,2,3,3,2,2,3
"R0148","Moderate-High Engagement","Marketing","1-3 years","Manager","Short enough that I could give real answers instead of rushing.","Some of the wording was ambiguous -- 'my team' could mean two different things.",3,3,4,4,4,3,3,4,4,4,3,4,4,3,2
"R0149","Moderate-High Engagement","Marketing","1-3 years","Senior IC","The examples actually matched the kind of work I do day to day.",NA,4,4,2,2,3,4,3,3,2,3,1,2,2,4,2
"R0150","Low Engagement","Content","5+ years","Individual contributor","It was short.","Too long.",1,1,2,2,1,1,1,3,4,1,2,1,1,1,2
"R0151","Low Engagement","Marketing","3-5 years","Individual contributor","It was fine I guess.","There was no option to say a question did not apply to me.",NA,3,3,1,1,1,2,2,1,NA,2,1,2,3,1
"R0152","Moderate-High Engagement","Data & Analytics","1-3 years","Manager","not really",NA,2,4,2,3,4,4,4,2,2,3,2,3,4,4,4
"R0153","Moderate-Low Engagement","Product","3-5 years","Individual contributor","It was short.","Some of the wording was ambiguous -- 'my team' could mean two different things.",4,3,3,2,3,3,4,1,4,NA,4,3,2,4,1
"R0154","High Engagement","Engineering","1-3 years","Individual contributor","It was clear what each question was getting at.","Some of the wording was ambiguous -- 'my team' could mean two different things.",4,3,3,2,4,4,4,3,4,2,4,4,3,4,4
"R0155","Moderate-High Engagement","Marketing","1-3 years","Individual contributor","Not much.","not really",3,2,4,4,4,4,4,3,2,1,3,3,3,3,1
"R0156","High Engagement","Operations","1-3 years","Individual contributor","The examples actually matched the kind of work I do day to day.","The scale was confusing.",2,4,1,NA,4,4,4,4,4,3,3,4,4,3,4
"R0157","Moderate-High Engagement","Engineering","5+ years","Manager","Short enough that I could give real answers instead of rushing.","n/a",3,3,3,NA,3,4,2,3,2,2,2,4,2,2,4
"R0158","Moderate-High Engagement","Product","Under 1 year","Manager","The examples actually matched the kind of work I do day to day.",NA,2,4,4,NA,3,3,3,2,2,3,4,3,3,3,2
"R0159","Moderate-Low Engagement","Marketing","1-3 years","Individual contributor","Not much.","Hard to answer about onboarding when mine was two years ago.",3,4,3,2,2,3,2,4,4,4,NA,4,NA,4,3
"R0160","Moderate-Low Engagement","Data & Analytics","1-3 years","Senior IC","Not much.","Hard to answer about onboarding when mine was two years ago.",4,3,2,2,4,4,1,3,2,3,2,4,4,4,2
